Regularization value,Learning rate value,Iterations value,R2
0.1,0.1,50,0.08637119009213179
0.1,0.1,100,0.14659900048217467
0.1,0.1,1000,0.4983942119136293
0.1,0.1,5000,0.6054419964534938
0.1,0.1,10000,0.620455870666003
0.1,0.5,50,0.2762080296410554
0.1,0.5,100,0.39562141370145554
0.1,0.5,1000,0.6054558757198
0.1,0.5,5000,0.625923946467425
0.1,0.5,10000,0.6264528261146816
0.1,0.01,50,-0.0020509346020378683
0.1,0.01,100,0.027423678071598068
0.1,0.01,1000,0.1465071856311153
0.1,0.01,5000,0.39507465416066334
0.1,0.01,10000,0.4983408518637047
0.1,0.05,50,0.05171139457871832
0.1,0.05,100,0.08633875085458964
0.1,0.05,1000,0.3951192231791709
0.1,0.05,5000,0.5768470820036384
0.1,0.05,10000,0.6054402604877607
0.1,0.001,50,-0.29916529157458793
0.1,0.001,100,-0.21937619749437598
0.1,0.001,1000,0.027304980118934896
0.1,0.001,5000,0.0863070047657084
0.1,0.001,10000,0.14649801531429107
0.5,0.1,50,0.08636700846020495
0.5,0.1,100,0.1465854509212009
0.5,0.1,1000,0.49820308963839655
0.5,0.1,5000,0.6051583700286489
0.5,0.1,10000,0.6201262974277945
0.5,0.5,50,0.27615463124539863
0.5,0.5,100,0.3955038896793448
0.5,0.5,1000,0.6051723596499867
0.5,0.5,5000,0.6256362757986247
0.5,0.5,10000,0.6262102253877273
0.5,0.01,50,-0.0020513577383602932
0.5,0.01,100,0.027423244752001086
0.5,0.01,1000,0.14649354736003672
0.5,0.01,5000,0.3949565433962393
0.5,0.01,10000,0.49814963570201987
0.5,0.05,50,0.05171010212829852
0.5,0.05,100,0.08633453697005822
0.5,0.05,1000,0.39500116007626584
0.5,0.05,5000,0.5766098721273893
0.5,0.05,10000,0.6051566202548305
0.5,0.001,50,-0.299165321082681
0.5,0.001,100,-0.21937629173618922
0.5,0.001,1000,0.027304540804685695
0.5,0.001,5000,0.08630275934975629
0.5,0.001,10000,0.14648436819142963
0.01,0.1,50,0.08637213099217322
0.01,0.1,100,0.14660204934736243
0.01,0.1,1000,0.4984372039833922
0.01,0.1,5000,0.6055055686664803
0.01,0.1,10000,0.6205294881120428
0.01,0.5,50,0.27622004581580184
0.01,0.5,100,0.3956478595273657
0.01,0.5,1000,0.6055194227635082
0.01,0.5,5000,0.625986290866788
0.01,0.5,10000,0.6265028757205597
0.01,0.01,50,-0.0020508393963070137
0.01,0.01,100,0.0274237755681207
0.01,0.01,1000,0.14651025446151789
0.01,0.01,5000,0.3951012321911678
0.01,0.01,10000,0.49838386512142285
0.01,0.05,50,0.05171168538363158
0.01,0.05,100,0.08633969901245442
0.01,0.05,1000,0.39514579047054244
0.01,0.05,5000,0.576900326834855
0.01,0.05,10000,0.605503835850013
0.01,0.001,50,-0.2991652849352644
0.01,0.001,100,-0.2193761762899522
0.01,0.001,1000,0.027305078964288687
0.01,0.001,5000,0.08630796001911989
0.01,0.001,10000,0.14650108613689083
0.05,0.1,50,0.08637171281288691
0.05,0.1,100,0.14660069428646372
0.05,0.1,1000,0.4984180968722486
0.05,0.1,5000,0.6054773254705157
0.05,0.1,10000,0.6204967938984454
0.05,0.5,50,0.2762147052240449
0.05,0.5,100,0.39563610569461183
0.05,0.5,1000,0.605491190769343
0.05,0.5,5000,0.6259586936397876
0.05,0.5,10000,0.6264808471306144
0.05,0.01,50,-0.002050881709967811
0.05,0.01,100,0.027423732236350196
0.05,0.01,1000,0.14650889052694338
0.05,0.01,5000,0.3950894195923068
0.05,0.01,10000,0.49836474859052804
0.05,0.05,50,0.05171155613684164
0.05,0.05,100,0.08633927760742421
0.05,0.05,1000,0.3951339826453234
0.05,0.05,5000,0.5768766682652897
0.05,0.05,10000,0.6054755912524421
0.05,0.001,50,-0.2991652878860749
0.05,0.001,100,-0.2193761857141412
0.05,0.001,1000,0.027305035033036273
0.05,0.001,5000,0.08630753546046888
0.05,0.001,10000,0.1464997213168706
0.001,0.1,50,0.08637222508284137
0.001,0.1,100,0.14660235423820434
0.001,0.1,1000,0.49844150297848
0.001,0.1,5000,0.6055119209301321
0.001,0.1,10000,0.6205368388588685
0.001,0.5,50,0.27622124746430454
0.001,0.5,100,0.3956505041689127
0.001,0.5,1000,0.6055257725033445
0.001,0.5,5000,0.6259924755117368
0.001,0.5,10000,0.6265077840920388
0.001,0.01,50,-0.002050829875732685
0.001,0.01,100,0.027423785317765126
0.001,0.01,1000,0.1465105613489912
0.001,0.01,5000,0.3951038900569649
0.001,0.01,10000,0.49838816623658977
0.001,0.05,50,0.05171171446419498
0.001,0.05,100,0.08633979382892487
0.001,0.05,1000,0.3951484472621172
0.001,0.05,5000,0.5769056487330432
0.001,0.05,10000,0.6055101884294529
0.001,0.001,50,-0.2991652842713317
0.001,0.001,100,-0.2193761741695095
0.001,0.001,1000,0.027305088848816883
0.001,0.001,5000,0.08630805554516452
0.001,0.001,10000,0.1465013932235949

0.001,0.5,10000,0.6265077840920388
